f1_flight_num,f1_origin_city,f1_dest_city,f1_actual_time,f2_flight_num,f2_origin_city,f2_dest_city,f2_actual_time,actual_time
116,Seattle WA,San Francisco CA,122,96,San Francisco CA,Boston MA,336,458
202,Seattle WA,San Francisco CA,130,96,San Francisco CA,Boston MA,336,466
316,Seattle WA,San Francisco CA,137,96,San Francisco CA,Boston MA,336,473
498,Seattle WA,San Francisco CA,126,96,San Francisco CA,Boston MA,336,462
596,Seattle WA,San Francisco CA,116,96,San Francisco CA,Boston MA,336,452
816,Seattle WA,San Francisco CA,122,96,San Francisco CA,Boston MA,336,458
755,Seattle WA,San Francisco CA,113,96,San Francisco CA,Boston MA,336,449
759,Seattle WA,San Francisco CA,135,96,San Francisco CA,Boston MA,336,471
1449,Seattle WA,San Francisco CA,119,96,San Francisco CA,Boston MA,336,455
1499,Seattle WA,San Francisco CA,111,96,San Francisco CA,Boston MA,336,447
1531,Seattle WA,San Francisco CA,115,96,San Francisco CA,Boston MA,336,451
1725,Seattle WA,San Francisco CA,121,96,San Francisco CA,Boston MA,336,457
751,Seattle WA,San Francisco CA,113,96,San Francisco CA,Boston MA,336,449
753,Seattle WA,San Francisco CA,116,96,San Francisco CA,Boston MA,336,452
6530,Seattle WA,San Francisco CA,121,96,San Francisco CA,Boston MA,336,457
294,Seattle WA,San Francisco CA,123,96,San Francisco CA,Boston MA,336,459
371,Seattle WA,San Francisco CA,129,96,San Francisco CA,Boston MA,336,465
508,Seattle WA,San Francisco CA,128,96,San Francisco CA,Boston MA,336,464
816,Seattle WA,San Francisco CA,131,96,San Francisco CA,Boston MA,336,467
1073,Seattle WA,San Francisco CA,0,96,San Francisco CA,Boston MA,336,336
304,Seattle WA,San Francisco CA,127,96,San Francisco CA,Boston MA,336,463
306,Seattle WA,San Francisco CA,115,96,San Francisco CA,Boston MA,336,451
308,Seattle WA,San Francisco CA,120,96,San Francisco CA,Boston MA,336,456
316,Seattle WA,San Francisco CA,116,96,San Francisco CA,Boston MA,336,452
318,Seattle WA,San Francisco CA,123,96,San Francisco CA,Boston MA,336,459
320,Seattle WA,San Francisco CA,113,96,San Francisco CA,Boston MA,336,449
791,Seattle WA,San Francisco CA,111,96,San Francisco CA,Boston MA,336,447
977,Seattle WA,San Francisco CA,118,96,San Francisco CA,Boston MA,336,454
993,Seattle WA,San Francisco CA,115,96,San Francisco CA,Boston MA,336,451
1237,Seattle WA,San Francisco CA,121,96,San Francisco CA,Boston MA,336,457
300,Seattle WA,San Francisco CA,119,96,San Francisco CA,Boston MA,336,455
302,Seattle WA,San Francisco CA,119,96,San Francisco CA,Boston MA,336,455
884,Seattle WA,San Francisco CA,115,96,San Francisco CA,Boston MA,336,451
156,Seattle WA,San Francisco CA,116,96,San Francisco CA,Boston MA,336,452
198,Seattle WA,San Francisco CA,123,96,San Francisco CA,Boston MA,336,459
239,Seattle WA,San Francisco CA,116,96,San Francisco CA,Boston MA,336,452
729,Seattle WA,San Francisco CA,119,96,San Francisco CA,Boston MA,336,455
